
German,English
"Du bist Senior Full Stack Developer (all genders) mit einer Leidenschaft für innovative Lösungen? Du bringst tiefgehende Erfahrung in der Entwicklung von Webanwendungen mit und liebst es, im Team anspruchsvolle Projekte von Frontend bis Backend zu realisieren? Dann suchen wir genau dich.",

Are you a Senior Full Stack Developer (all genders) with a passion for innovative solutions? Do you have extensive experience in developing web applications and love working on challenging projects fro`m frontend to backend as part of a team? Then we are looking for you.


"Zum nächstmöglichen Zeitpunkt suchen wir einen motivierten und engagierten Senior Full Stack Developer (all genders) in Hamburg, Berlin, Wien, hybrid oder remote.",

"We are looking for a motivated and dedicated Senior Full Stack Developer (all genders) in Hamburg, Berlin, Vienna, hybrid, or remote as soon as possible."

Responsibilities,Responsibilities

"Du entwickelst und implementierst robuste Full-Stack-Lösungen in TypeScript, die sowohl Frontend- als auch Backend-Aspekte unserer Projekte umfassen",

You develop and implement robust full-stack solutions in TypeScript that cover both the frontend and backend aspects of our projects

"Du gewährleistest hohe Code-Qualität und setzt Clean Code-Prinzipien konsequent um, um wartbare und erweiterbare Anwendungen zu schaffen",

You ensure high code quality and consistently apply clean code principles to create maintainable and extensible applications

"Du übersetzt Designvorlagen pixelgenau in funktionale User Interfaces, von Smartphones bis hin zu TV-Geräten, und verwendest dabei CSS-in-JS für eine optimale Darstellung und Nutzererfahrung",

"You translate design templates pixel-perfectly into functional user interfaces, from smartphones to TV devices, using CSS-in-JS for optimal presentation and user experience"

"Du entwirfst und implementierst performante Datenstrukturen, arbeitest sowohl mit SQL- als auch NoSQL-Datenbanken und optimierst bestehende Datenbankabfragen für maximale Effizienz",

"You design and implement performant data structures, work with both SQL and NoSQL databases, and optimize existing database queries for maximum efficiency"

"Du integrierst CI/CD in den Entwicklungsprozess und förderst die Kultur automatisierter Tests, um die Zuverlässigkeit und Stabilität unserer Anwendungen kontinuierlich zu verbessern",You integrate CI/CD into the development process and promote the culture of automated testing to continuously improve the reliability and stability of our applications
Overview,Overview

"Als Partner für die digitale Transformation helfen wir Unternehmen, ihr volles Potenzial zu entfalten. JAKALA Germany verbindet Expertise in den Bereichen Data, Brand und Tech. Indem wir dieses Know-how zusammenführen, entwickeln wir Plattformen und Kampagnen, die überzeugen. Wir vereinen Kompetenzen, die zusammen stärker sind. Zu unseren langjährigen Kunden zählen die Hamburger Hochbahn, das ZDF, TUI Cruises und viele weitere.",

"As a partner for digital transformation, we help companies realize their full potential. JAKALA Germany combines expertise in the areas of data, brand, and tech. By bringing this knowledge together, we develop platforms and campaigns that convince. We unite skills that are stronger together. Our long-term clients include Hamburger Hochbahn, ZDF, TUI Cruises, and many others."

Qualifications,Qualifications

Du bringst umfangreiche Berufserfahrung als Full Stack Developer:in mit,

You bring extensive professional experience as a Full Stack Developer

"Du beherrschst React, Nest, Express (oder vergleichbare Technologien) und verfügst über sehr gute Kenntnisse in JavaScript / TypeScript","You are proficient in React, Nest, Express (or comparable technologies) and have excellent knowledge of JavaScript / TypeScript"

Ein ausgeprägtes Bewusstsein für Code-Qualität und die Prinzipien von Clean Code zeichnen dich aus,You have a strong awareness of code quality and the principles of clean code

Du hast ein geschultes Auge für User Interfaces und realisierst Designs von Smartphone bis TV pixelgenau mit CSS-in-JS,You have a trained eye for user interfaces and realize designs from smartphone to TV pixel-perfectly with CSS-in-JS

Im Umgang mit SQL/NoSQL-Datenbanken bist du versiert und kennst dich mit performanten Datenstrukturen aus,You are skilled in handling SQL/NoSQL databases and are familiar with performant data structures
"Erfahrung mit CI/CD-Prozessen ist für dich selbstverständlich, und automatisierte Tests sind Teil deiner Arbeitsweise","Experience with CI/CD processes is a given for you, and automated tests are part of your workflow"

Du kommunizierst offen und kompetent mit deinem Team und Projektmitgliedern in Deutsch und Englisch,You communicate openly and competently with your team and project members in German and English

Offer,Offer
Das bieten wir dir:,What we offer you:
Job in Vollzeit oder Teilzeit - du entscheidest,Job in full-time or part-time - you decide
Hybrides Arbeitsmodell (Remote und Büro) mit flexiblen Arbeitszeiten,Hybrid working model (remote and office) with flexible working hours

Offene und teamorientierte Unternehmenskultur,Open and team-oriented corporate culture
Wertschätzung deiner Ideen,Appreciation of your ideas

"Zuschuss für ÖPNV, Mobilitätsbudget, Bikeleasing-Option","Subsidy for public transport, mobility budget, bike leasing option"
Urban Sports Club Membership,Urban Sports Club membership

Wöchentliches gemeinsames Frühstück / Lunch,Weekly joint breakfast / lunch
Wenn du willst: Einstieg in unsere Hamburger Band (Sänger:in gesucht),If you want: entry into our Hamburg band (singer wanted)
What else?,What else?



Dynamik, Ambition, Kreativität – Du suchst nach einem Arbeitsumfeld, in dem du wirklich etwas bewegen kannst? Dann bist du bei uns genau richtig. Wir fördern Weiterentwicklung und Innovation für unsere Communities und unsere Kunden. 

Dynamism, ambition, creativity - Are you looking for a working environment where you can really make a difference? Then you are exactly right with us. We promote development and innovation for our communities and our customers. 

"Bei JAKALA wissen wir wie wertvoll unsere Teammitglieder sind und bieten ihnen die Möglichkeit, ihr volles Potenzial zu entfalten. 

"At JAKALA, we know how valuable our team members are and offer them the opportunity to realize their full potential. 

In unseren Teams zählt jede:r Einzelne. – das ist nicht zuletzt unser Commitment an dich.",

In our teams, everyone counts. 'Together to get there' - that is our commitment to you."
