Number,German
1,eins
2,zwei
3,drei
4,vier
5,fünf
6,sechs
7,sieben
8,acht
9,neun
10,zehn
11,elf
12,zwölf
13,dreizehn
20,zwanzig
21,einundzwanzig
22,zweiundzwanzig
23,dreiundzwanzig
30,dreißig
31,einunddreißig
32,zweiunddreißig
33,dreiunddreißig
40,vierzig
41,einundvierzig
42,zweiundvierzig
43,dreiundvierzig
50,fünfzig
51,einundfünfzig
52,zweiundfünfzig
53,dreiundfünfzig
60,sechzig
61,einundsechzig
62,zweiundsechzig
63,dreiundsechzig
70,siebzig
71,einundsiebzig
72,zweiundsiebzig
73,dreiundsiebzig
80,achtzig
81,einundachtzig
82,zweiundachtzig
83,dreiundachtzig
90,neunzig
91,einundneunzig
92,zweiundneunzig
93,dreiundneunzig
100,hundert
