German,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Software Architect Frontend Angular Nodejs (m/w/d) Bundesweit oder Frankfurt a.M. (Festanstellung, unbefristet) (bis zu 90.000€ p/A)","Software Architect Frontend Angular Nodejs (m/f/d) Nationwide or Frankfurt a.M. (Permanent, indefinite) (up to €90,000 p/a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mein Klient gehört zu den Top-Adressen in der IT- Beratungswelt und fokussiert sich auf die Optimierung seiner Kerngeschäftsprozesse seiner Kunden. Durch den smarten Einsatz maßgeschneiderter IT-Lösungen unterstützt er seine Kunden dabei, das Beste aus ihrem Business und aktuellen Technologien herauszuholen.","My client is one of the top addresses in the IT consulting world and focuses on optimizing their clients' core business processes. Through the smart use of customized IT solutions, they help their clients get the most out of their business and current technologies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Im Bereich Softwarelösungen bewegst du dich zwischen den Themen Design und Entwicklung, dazu übernimmst du gerne Verantwortung für morderne Frontend-Applikationen? Du willst dort einsteigen, wo Zukunft programmiert und digitale Transformation angetrieben wird?","In the field of software solutions, you move between design and development, and you like to take responsibility for modern frontend applications? Do you want to step in where the future is programmed and digital transformation is driven?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Du konzipierst und entwickelst komplexe, performante und bedienbare Frontendlösungen und bist ebenso für die Umsetzung verantwortlich.","You design and develop complex, high-performance, and user-friendly frontend solutions and are also responsible for their implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufgaben:,Responsibilities:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du,bewertest,und,entwirfst,Frontend-Architekturen,unter,Berücksichtigung,aktueller,Standards,und,triffst,Technologie-Entscheidungen.,You,evaluate,and,design,frontend,architectures,considering,current,standards,and,make,technology,decisions.,,,,,,
"Entwicklung von modernen, responsiven Frontends auf aktueller JavaScript-Plattform mit serviceorientierter Architektur","Development of modern, responsive frontends on the current JavaScript platform with service-oriented architecture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realisierung,von,Single-Page-Applications,und,mobilen,Web-Applications,Implementation,of,single-page,applications,and,mobile,web,applications.,,,,,,,,,,,,,,,,,
Coaching,von,Entwicklerinnen,und,Entwicklern,im,Rahmen,agiler,Softwareentwicklung,Coaching,of,developers,within,the,framework,of,agile,software,development.,,,,,,,,,,,,
Agile,Vorgehensweise,bspw.,nach,Scrum,zur,effizienten,Umsetzung,von,innovativen,Web,Frontends,mit,Hilfe,von,HTML/CSS/JavaScript,"Agile approach, e.g., Scrum, for the efficient implementation of innovative web frontends using HTML/CSS/JavaScript.",,,,,,,,,,,,,,
Anforderungen:,Requirements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abgeschlossenes,Studium,der,Informatik,oder,vergleichbare,Qualifikation,Completed,degree,in,Computer,Science,or,comparable,qualification.,,,,,,,,,,,,,,,,
Relevante,Berufserfahrung,im,Bereich,Frontendentwicklung,sowie,in,fachlicher,Anforderungsanalyse,und,Konzeption,Relevant,professional,experience,in,frontend,development,as,well,as,in,technical,requirements,analysis,and,design.,,,,,
"Fundierte Kenntnisse und praktische Erfahrungen in der Software-Entwicklung in den Technologien JavaScript, HTML5, CSS3, AngularJS, JQuery, Bootstrap, NodeJS","Solid knowledge and practical experience in software development with technologies such as JavaScript, HTML5, CSS3, AngularJS, JQuery, Bootstrap, NodeJS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solides Verständnis von Webtechnologien, Microservices, Restservices, Test Driven Development (TDD) sowie Behaviour Driven Development (BDD)","Solid understanding of web technologies, microservices, REST services, test-driven development (TDD), and behavior-driven development (BDD).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
